fid,REGION,long,Borehole n,Temperatur,pH,Electrical,Total Diss,Turbidity-,Salinity-P,Color-PCU,Nitrate (N,Nitrite (N,Ammonia (N,Phosphate-,Fluoride (,Potassium-,Chloride (,Sulfate (S,Iron (Fe)-,Total Susp,Calcium-mg,magnesium-,Total Hard,Total Coli,E. coli-CF,lat,id
34,UNGUJA NORTH REGION,39.29449942766601,Moga kibeberu,28.7,6.5,803.0,401.0,0.44,0.4,False,10.8,0.07,0.0,8.46,0.0,1.4,41.12,,0.0,False,68.4,1.22,179.0,23,0.0,-5.903,govbh_033
35,UNGUJA NORTH REGION,39.25723282137158,Kipange Tumbatu - 2,28.8,6.22,692.0,346.0,0.36,0.35,False,4.7,0.012,0.0,4.97,0.0,3.6,24.106,,0.1,False,58.4,,146.0,37,0.0,-5.902,govbh_034
36,UNGUJA NORTH REGION,39.25698038826246,Kipange Tumbatu - 3,28.3,6.73,637.0,318.0,1.15,0.34,False,4.9,0.0,0.0,1.22,0.0,2.1,24.81,,0.02,False,54.8,3.4,151.0,37,30.0,-5.903,govbh_035
37,UNGUJA NORTH REGION,39.251101565850064,Donnge kipange - Mbunge,29.1,6.76,623.0,311.0,0.31,0.31,False,6.8,0.011,0.0,20.08,0.0,1.7,51.04,,0.0,False,58.4,1.95,154.0,5,0.0,-5.909,govbh_036
38,UNGUJA NORTH REGION,39.30479636744616,Kieshang JP5-1/Kidagoni (kibuyuni),29.3,6.66,583.0,291.0,2.14,0.29,,11.1,0.008,0.0,158.6,0.62,3.3,27.56,,0.03,False,45.6,4.86,134.0,58,4.0,-5.883,govbh_037
39,UNGUJA NORTH REGION,39.34235033417401,Matemwe mikuyuni,30.5,6.41,527.0,264.0,0.55,0.26,False,12.4,0.016,0.0,23.3,0.0,2.0,27.65,,0.0,False,41.6,4.13,121.0,30,15.0,-5.898,govbh_038
40,UNGUJA NORTH REGION,39.25262489211156,Donge Mbiji (Nje),28.6,6.82,648.0,324.0,0.61,0.32,False,10.8,0.016,0.0,3.07,0.0,3.7,37.5,,0.01,False,57.2,6.8,171.0,13,0.0,-5.961,govbh_039
41,UNGUJA NORTH REGION,39.25832897677713,Kinduni (RAK),28.3,6.47,792.0,396.0,0.72,0.4,False,11.1,0.044,0.0,4.28,0.0,2.0,62.3,,0.02,False,53.2,12.88,186.0,35,0.0,-5.986,govbh_040
42,UNGUJA NORTH REGION,39.2519988742079,Kitope Mbaleni (RAK),30.6,6.53,481.0,240.0,1.87,0.24,False,11.8,0.014,0.0,5.24,0.0,1.4,21.27,,0.0,False,43.2,6.2,134.0,47,0.0,-6.014,govbh_041
43,UNGUJA NORTH REGION,39.315557193602096,Kisongoni Mchina,29.7,6.68,1058.0,529.0,0.53,1.06,False,15.3,0.028,0.0,2.92,0.0,2.5,31.9,,0.0,False,56.8,22.37,234.0,28,1.0,-5.981,govbh_042
44,UNGUJA NORTH REGION,39.253130857405445,Donge Mchina - 1,31.5,6.42,602.0,301.0,1.08,0.3,False,7.5,0.011,0.0,5.18,0.0,1.9,31.9,,0.0,False,512.0,7.29,158.0,0,0.0,-5.961,govbh_043
45,UNGUJA NORTH REGION,39.303446997262704,Donge- Bandamaji Mchina 1,31.8,6.21,649.0,325.0,1.95,0.32,False,13.4,0.003,0.0,2.98,0.16,1.3,36.15,,0.04,False,52.0,6.56,157.0,24,0.0,-5.96,govbh_044
46,UNGUJA NORTH REGION,39.195131389236415,Bumbwini- Kidanzini,,,,,,,,,,,,,,,,,,,,,,,-5.979,govbh_045
47,UNGUJA NORTH REGION,39.19412582343113,Bumbwini Misufini,29.3,6.9,696.0,348.0,0.43,0.35,False,11.9,0.012,0.0,,0.41,1.6,20.561,,0.0,False,,,165.0,25,0.0,-5.972,govbh_046
48,UNGUJA NORTH REGION,39.191014496834846,Bumbwini Uwandani,29.5,6.25,728.0,364.0,0.6,0.36,False,9.4,0.018,0.0,,0.12,2.0,21.27,,0.05,False,,,167.0,24,0.0,-5.962,govbh_047
49,UNGUJA NORTH REGION,39.19079279724732,Dundua (Tank Old),30.1,6.29,778.0,389.0,0.23,0.39,False,76.2,0.014,0.0,,0.78,20.0,46.085,,0.0,False,,,164.0,30,0.0,-5.974,govbh_048
50,UNGUJA NORTH REGION,39.19079279724732,Dundua (Tank new),31.5,6.55,744.0,372.0,0.31,0.37,False,25.6,0.003,0.0,,0.22,2.0,36.159,,0.0,False,,,159.0,12,0.0,-5.974,govbh_049
51,UNGUJA SOUTH REGION,39.54688847145999,Jambiani,27.7,6.8,1009.0,504.5,1.21,0.51,False,1.3,0.035,0.0,8.8,0.5,2.0,196.39,,0.0,False,40.4,6.81,129.0,42,3.0,-6.351,govbh_050
52,UNGUJA SOUTH REGION,39.545285883656895,Makundichi,29.0,6.84,428.0,214.0,0.51,0.21,False,0.042,0.0,0.0,19.71,0.55,80.0,29.06,,0.0,False,27.2,7.05,97.0,11,0.0,-6.401,govbh_051
53,UNGUJA SOUTH REGION,39.36638175851692,Unguja Ukuu,26.4,6.5,924.0,462.0,0.53,0.46,False,3.3,0.032,0.0,0.88,0.67,2.5,148.89,,0.06,False,42.0,11.43,152.0,0,0.0,-6.273,govbh_052
54,UNGUJA SOUTH REGION,39.47109608587235,Muyuni C,29.0,6.6,1078.0,539.0,1.03,0.54,False,5.4,1.446,0.0,5.45,0.53,4.7,241.11,,0.0,False,48.4,2.18,130.0,2,0.0,-6.384,govbh_053
55,UNGUJA SOUTH REGION,39.324703517177625,Kibele,28.2,6.4,873.0,436.5,0.65,0.43,False,2.3,0.05,0.03,0.96,0.54,2.0,110.6,,0.0,False,53.6,3.64,153.0,53,0.0,-6.225,govbh_054
56,UNGUJA SOUTH REGION,39.31237873808632,Mgeni Haji,24.7,7.0,458.0,229.0,0.62,0.23,False,6.9,0.012,0.0,3.86,1.39,1.4,12.05,,0.0,False,66.8,6.0,144.0,24,0.0,-6.095,govbh_055
57,UNGUJA SOUTH REGION,34.96655477575175,Bubwisudi,27.5,7.52,593.0,296.5,0.95,0.3,False,3.3,0.032,0.0,2.32,0.82,1.1,29.06,,0.0,False,488.0,4.0,132.0,45,0.0,-6.04,govbh_056
58,UNGUJA SOUTH REGION,39.36259797497805,Bambi,28.0,6.8,534.0,267.0,0.31,0.27,False,19.3,0.095,0.0,0.76,,2.3,16.3,,0.15,False,50.4,0.72,129.0,0,0.0,-6.08,govbh_057
59,UNGUJA SOUTH REGION,39.31628620198783,Dunga,27.4,6.4,584.0,262.0,0.51,0.26,False,8.7,0.033,0.0,4.19,1.16,2.1,14.88,,0.0,False,51.2,1.45,134.0,41,0.0,-6.131,govbh_058
60,UNGUJA SOUTH REGION,39.32654260572543,Kilomberu,28.0,6.5,1193.0,596.5,0.6,0.6,False,7.7,0.037,0.0,9.69,0.57,2.6,141.8,,0.07,False,55.2,11.43,185.0,16,3.0,-6.024,govbh_059
